family	state	dfam_exact_name_record_count	dfam_ids	dfam_accessions	rm_entry_count_by_accession	rm_accessions	rm_names_by_accession	generated_fragment_rows	generated_raw_fragment_bp	generated_union_bp
Transib5	matched	1	"[""DF000001723""]"	"[""DF000001723""]"	1	"[""DF000001723.4""]"	"[""Transib5""]"	238	107830	107830
Transpac_I	matched	1	"[""DF000001725""]"	"[""DF000001725""]"	1	"[""DF000001725.3""]"	"[""Transpac_I""]"	6	2669	2669
Transpac_LTR	matched	1	"[""DF000001726""]"	"[""DF000001726""]"	1	"[""DF000001726.3""]"	"[""Transpac_LTR""]"	37	11907	11907
Yoyo1_Dros-I	matched	1	"[""DF003894180""]"	"[""DF003894180""]"	1	"[""DF003894180.2""]"	"[""Yoyo1_Dros-I""]"	13	25421	25421
Yoyo1_Dros-LTR	matched	1	"[""DF003894164""]"	"[""DF003894164""]"	1	"[""DF003894164.2""]"	"[""Yoyo1_Dros-LTR""]"	50	14265	14265
Yoyo2_Dros-I	matched	1	"[""DF003894178""]"	"[""DF003894178""]"	1	"[""DF003894178.2""]"	"[""Yoyo2_Dros-I""]"	5	6740	6740
Yoyo2_Dros-LTR	matched	1	"[""DF003894166""]"	"[""DF003894166""]"	1	"[""DF003894166.2""]"	"[""Yoyo2_Dros-LTR""]"	26	8961	8961
ZAM_I	matched	1	"[""DF000001526""]"	"[""DF000001526""]"	1	"[""DF000001526.4""]"	"[""ZAM_I""]"	99	35905	35905
ZAM_LTR	matched	1	"[""DF000001525""]"	"[""DF000001525""]"	1	"[""DF000001525.3""]"	"[""ZAM_LTR""]"	72	8966	8966
ZAM_LTR2	matched	1	"[""DF003894171""]"	"[""DF003894171""]"	1	"[""DF003894171.2""]"	"[""ZAM_LTR2""]"	90	23837	23837
ZAM_LTR3	matched	1	"[""DF003894172""]"	"[""DF003894172""]"	1	"[""DF003894172.2""]"	"[""ZAM_LTR3""]"	53	24026	24026
ZAMlike_I	matched	1	"[""DF003894182""]"	"[""DF003894182""]"	1	"[""DF003894182.2""]"	"[""ZAMlike_I""]"	95	59683	59683
ZAMlike_LTR	matched	1	"[""DF003894170""]"	"[""DF003894170""]"	1	"[""DF003894170.2""]"	"[""ZAMlike_LTR""]"	69	25066	25066
hoMel1	matched	1	"[""DF003894088""]"	"[""DF003894088""]"	1	"[""DF003894088.2""]"	"[""hoMel1""]"	16	3119	3119
hoMel1N_Dmel	matched	1	"[""DF003894086""]"	"[""DF003894086""]"	1	"[""DF003894086.2""]"	"[""hoMel1N_Dmel""]"	80	21919	21919
hobo	matched	1	"[""DF000001645""]"	"[""DF000001645""]"	1	"[""DF000001645.4""]"	"[""hobo""]"	1253	396891	396891
